iter;target;length...;num_ra...;random...;random..._1;Column1;;iter;target;length...;num_ra...;random...;random..._1;Column1;;length;num_raÉ;random...;random..._1;;Oberes 1/3;length;num_raÉ;random...;random..._1
49;0,9831;295,4;15,67;0,9356;0,2799;;;38;0,8084;226,1;1,239;0,4425;0,2903;;;;;;;;;;;;
89;0,9829;259,8;3,379;0,8009;0,08077;;;36;0,9621;224,7;3,593;0,4354;0,0408;;;;;;;;;;;;
113;0,9828;259,1;12,61;0,9099;0,0661;;;114;0,9616;218,3;7,104;0,8939;0,2969;;;;;;;;;;;;
59;0,9828;125,8;13,86;0,7253;0,09818;;;77;0,9703;218;8,449;0,953;0,1294;;;;;;;;;;;;
;;;;;;;;123;0,9826;213,3;16,35;0,8661;0,1947;;;;;;;;;;;;
;;;;;;;;145;0,9576;201,6;5,816;0,7673;0,2486;;;;;;;;;;;;
;;;;;;;;143;0,9239;200,1;10,69;0,5125;0,202;;;;;;;;;;;;
;;;;;;;;78;0,9538;198;2,22;0,5945;0,1939;;;;;;;;;;;;
;;;;;;;;84;0,9685;196,8;14,08;0,7821;0,2413;;;;;;;;;;;;
;;;;;;;;103;0,9745;193,3;16,49;0,7716;0,2739;;;;;;;;;;;;
;;;;;;;;52;0,9665;179,8;8,856;0,7232;0,2245;;;;;;;;;;;;
;;;;;;;;88;0,9743;175,6;13,9;0,9497;0,2043;;;;;;;;;;;;
;;;;;;;;93;0,9458;174,3;4,333;0,646;0,2561;;;;;;;;;;;;
;;;;;;;;141;0,9793;171,9;14,68;0,8955;0,1277;;;;;;;;;;;;
;;;;;;;;90;0,9751;171,5;8,943;0,8867;0,1106;;;;;;;;;;;;
;;;;;;;;5;0,9759;169,8;11,62;0,4828;0,06344;;;;;;;;;;;;
;;;;;;;;1;0,9766;169,7;14,69;0,4001;0,09419;;;;;;;;;;;;
;;;;;;;;79;0,9424;165,2;1,265;0,6408;0,2374;;;;;;;;;;;;
;;;;;;;;112;0,9725;164,3;19,76;0,802;0,273;;;;;;;;;;;;
;;;;;;;;60;0,9358;161,9;4,689;0,4312;0,1068;;;;;;;;;;;;
;;;;;;;;3;0,9799;161,7;11,24;0,6473;0,2071;;;;;;;;;;;;
;;;;;;;;76;0,9592;160,9;13,32;0,4925;0,1281;;;;;;;;;;;;
;;;;;;;;86;0,9795;160,4;18,94;0,8513;0,2369;;;;;;;;;;;;
;;;;;;;;135;0,9817;154,1;18,08;0,6318;0,2261;;;;;;;;;;;;
;;;;;;;;55;0,8684;148,9;1,426;0,4899;0,2916;;;;;;;;;;;;
;;;;;;;;83;0,9761;147,1;10,63;0,8277;0,1587;;;;;;;;;;;;
;;;;;;;;147;0,9443;145,2;3,015;0,6107;0,2761;;;;;;;;;;;;
;;;;;;;;87;0,9819;143,3;18,92;0,6238;0,09037;;;;;;;;;;;;
;;;;;;;;131;0,9608;137,5;8,206;0,5203;0,1846;;;;;;;;;;;;
;;;;;;;;62;0,9548;136,3;10,21;0,6459;0,2471;;;;;;;;;;;;
;;;;;;;;58;0,9714;133,3;13,08;0,6363;0,2267;;;;;;;;;;;;
;;;;;;;;81;0,9819;124;13,01;0,9268;0,1537;;;;;;;;;;;;
;;;;;;;;13;0,9339;118,7;3,471;0,4114;0,2053;;;;;;;;;;;;
;;;;;;;;99;0,9814;118,2;2,973;0,9036;0,04664;;;;;;;;;;;;
;;;;;;;;22;0,9815;111,6;18,02;0,6526;0,2896;;;;;;;;;;;;
;;;;;;;;65;0,9461;108,8;1,415;0,4988;0,1943;;;;;;;;;;;;
;;;;;;;;47;0,9729;107,8;16,29;0,5141;0,1936;;;;;;;;;;;;
;;;;;;;;148;0,9719;102,2;4,851;0,8711;0,2577;;;;;;;;;;;;
;;;;;;;;41;0,9687;99,74;10,38;0,7658;0,2495;;;;;;;;;;;;
;;;;;;;;136;0,982;99,17;19,11;0,9725;0,164;;;;;;;;;;;;
;;;;;;;;63;0,9625;97,45;9,493;0,7246;0,285;;;;;;;;;;;;
;;;;;;;;4;0,9615;85,76;17,68;0,4162;0,2028;;;;;;;;;;;;
;;;;;;;;122;0,9749;84,62;5,19;0,8805;0,2242;;;;;;;;;;;;
;;;;;;;;40;0,9816;82,19;12,05;0,9723;0,2548;;;;;;;;;;;;
;;;;;;;;144;0,9813;81,91;17,62;0,4031;0,04041;;;;;;;;;;;;
;;;;;;;;129;0,9697;79,22;2,856;0,7407;0,2709;;;;;;;;;;;;
;;;;;;;;109;0,982;76,79;17,99;0,6977;0,2959;;;;;;;;;;;;
;;;;;;;;67;0,9779;76,41;6,164;0,8741;0,1962;;;;;;;;;;;;
;;;;;;;;8;0,9707;72,08;17,68;0,458;0,1292;;;;;;;;;;;;
;;;;;;;;42;0,9613;66,93;1,353;0,4413;0,1485;;;;;;;;;;;;
;;;;;;;;69;0,9751;64,9;4,881;0,7968;0,2631;;;;;;;;;;;;
;;;;;;;;2;0,9743;62,97;2,754;0,5099;0,1069;;;;;;;;;;;;
;;;;;;;;33;0,9805;54,05;6,304;0,7456;0,291;;;;;;;;;;;;
;;;;;;;;31;0,9738;12,85;1,498;0,4167;0,07763;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
